utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
1636576719928000,-26.0697,14.1815,141.119,-23.8633,-2.4382200000000003,144.866,-33.6808,-2.89863,149.7,-14.0458,-1.97782,140.03199999999998,-34.8957,-15.4011,131.913,-6.2727200000000005,-20.7664,136.067,-28.817,-17.380699999999997,110.53,-7.8027,-42.0857,135.962,-21.8132,-17.5763,147.58800000000002,-26.0485,-33.0092,153.405,-13.4777,-32.4197,147.216,-26.0485,-64.05109999999999,153.405,-13.4777,-63.4616,147.216,-26.0485,-93.8991,153.405,-13.4777,-93.3095,147.216
1636576719959000,-26.0632,14.2052,141.214,-23.8035,-2.46671,144.882,-33.6043,-2.98641,149.745,-14.0028,-1.94702,140.019,-35.498000000000005,-15.3389,132.35,-6.23782,-20.7817,136.04000000000002,-28.951,-17.3488,111.11,-7.842409999999999,-42.095,136.119,-21.694,-17.6141,147.515,-25.8557,-33.0941,153.259,-13.313300000000002,-32.429,147.036,-25.8557,-64.136,153.259,-13.313300000000002,-63.47089999999999,147.036,-25.8557,-93.984,153.259,-13.313300000000002,-93.3189,147.036
1636576719985000,-26.0465,14.1981,141.308,-23.7802,-2.49298,144.846,-33.6159,-3.0633,149.63299999999998,-13.9445,-1.92265,140.06,-36.1878,-15.4348,132.56099999999998,-6.20665,-20.7844,136.066,-28.9262,-17.3422,111.553,-7.842650000000001,-42.0952,136.222,-21.6781,-17.6625,147.35899999999998,-25.870800000000003,-33.1971,152.934,-13.2811,-32.4671,146.808,-25.870800000000003,-64.239,152.934,-13.2811,-63.509,146.808,-25.870800000000003,-94.087,152.934,-13.2811,-93.357,146.808
1636576720028000,-26.0861,14.1306,141.207,-23.7953,-2.58919,144.765,-33.6497,-3.22088,149.505,-13.941,-1.9575,140.025,-36.2195,-15.5815,132.261,-6.206989999999999,-20.7789,136.10899999999998,-28.6122,-17.4112,111.364,-7.8384,-42.0905,136.124,-21.6488,-17.7649,147.20499999999998,-25.808,-33.3449,152.678,-13.196700000000002,-32.536500000000004,146.612,-25.808,-64.38680000000001,152.678,-13.196700000000002,-63.5784,146.612,-25.808,-94.2348,152.678,-13.196700000000002,-93.4264,146.612
1636576720062000,-26.0663,14.0398,141.249,-23.9129,-2.59823,144.91400000000002,-33.7127,-3.11317,149.777,-14.1131,-2.08328,140.05,-36.287400000000005,-15.642599999999998,132.183,-6.18776,-20.8417,136.129,-28.6424,-17.4463,111.29,-7.8456,-42.1517,136.152,-21.8177,-17.750999999999998,147.531,-25.9962,-33.2335,153.262,-13.4488,-32.574200000000005,147.035,-25.9962,-64.2754,153.262,-13.4488,-63.6161,147.035,-25.9962,-94.1234,153.262,-13.4488,-93.4641,147.035
1636576720085000,-26.0299,13.9251,141.214,-23.8618,-2.64266,144.882,-33.6469,-3.11937,149.781,-14.0768,-2.16595,139.98399999999998,-36.0594,-15.6245,132.224,-6.27376,-20.7891,136.07999999999998,-28.7186,-17.4039,111.22,-7.78977,-42.1083,135.943,-21.7836,-17.788,147.56,-25.972,-33.2387,153.374,-13.4388,-32.6281,147.1,-25.972,-64.2806,153.374,-13.4388,-63.67,147.1,-25.972,-94.1286,153.374,-13.4388,-93.518,147.1
1636576720124000,-25.9929,13.9936,141.148,-23.834200000000003,-2.5401800000000003,144.894,-33.6107,-2.96208,149.816,-14.0577,-2.11828,139.973,-35.5462,-15.6189,131.898,-6.23953,-20.8815,136.078,-28.6462,-17.395,110.747,-7.823739999999999,-42.1963,136.08599999999998,-21.7695,-17.6642,147.699,-25.9664,-33.0584,153.656,-13.4433,-32.518,147.352,-25.9664,-64.1003,153.656,-13.4433,-63.559900000000006,147.352,-25.9664,-93.9483,153.656,-13.4433,-93.4079,147.352
1636576720161000,-25.9697,14.0668,141.236,-23.7766,-2.56498,144.962,-33.5591,-3.01764,149.87,-13.9941,-2.11232,140.055,-35.4799,-15.5093,132.144,-6.22663,-20.8602,136.178,-28.6946,-17.407,110.964,-7.840210000000001,-42.1723,136.029,-21.693,-17.695500000000003,147.72,-25.8679,-33.1157,153.618,-13.3508,-32.536500000000004,147.33800000000002,-25.8679,-64.1576,153.618,-13.3508,-63.5784,147.33800000000002,-25.8679,-94.0055,153.618,-13.3508,-93.4263,147.33800000000002
1636576720196000,-26.009500000000003,14.023599999999998,141.168,-23.7286,-2.6271,144.78,-33.5509,-3.18214,149.595,-13.906299999999998,-2.07206,139.965,-35.510000000000005,-15.3686,132.349,-6.20451,-20.8979,136.168,-28.7612,-17.347,111.162,-7.83723,-42.2093,136.06199999999998,-21.5933,-17.7761,147.39,-25.7436,-33.2803,153.081,-13.172300000000002,-32.569900000000004,146.918,-25.7436,-64.3222,153.081,-13.172300000000002,-63.6118,146.918,-25.7436,-94.1702,153.081,-13.172300000000002,-93.4598,146.918
1636576720223000,-26.0895,13.8755,141.238,-23.8442,-2.7871,144.731,-33.6767,-3.37562,149.522,-14.0116,-2.19858,139.94,-35.2385,-15.4727,131.852,-6.08007,-21.0571,136.353,-28.5513,-17.4048,110.64,-7.960680000000001,-42.3469,136.369,-21.7277,-17.9606,147.20999999999998,-25.9038,-33.5106,152.756,-13.318700000000002,-32.757400000000004,146.624,-25.9038,-64.5526,152.756,-13.318700000000002,-63.7993,146.624,-25.9038,-94.4005,152.756,-13.318700000000002,-93.6473,146.624
1636576720253000,-26.0304,13.9596,141.118,-23.7586,-2.71467,144.673,-33.6099,-3.32284,149.424,-13.9072,-2.10649,139.923,-35.0616,-15.5332,131.624,-6.01063,-21.1705,136.487,-28.403,-17.434,110.4,-8.013290000000001,-42.4445,136.15699999999998,-21.6297,-17.8882,147.145,-25.805,-33.450900000000004,152.658,-13.1968,-32.6725,146.578,-25.805,-64.4928,152.658,-13.1968,-63.7144,146.578,-25.805,-94.3407,152.658,-13.1968,-93.5624,146.578
1636576720285000,-26.0204,13.930600000000002,141.156,-23.7188,-2.75232,144.68099999999998,-33.578500000000005,-3.4163400000000004,149.406,-13.859100000000002,-2.08829,139.95499999999998,-34.916000000000004,-15.538999999999998,131.514,-5.96725,-21.2145,136.554,-28.3868,-17.4399,110.25,-8.02647,-42.4775,135.952,-21.5117,-17.9144,147.155,-25.611700000000003,-33.5012,152.652,-12.9976,-32.6517,146.607,-25.611700000000003,-64.54310000000001,152.652,-12.9976,-63.6936,146.607,-25.611700000000003,-94.3911,152.652,-12.9976,-93.5416,146.607
1636576720321000,-26.0387,14.0137,141.129,-23.6833,-2.69395,144.652,-33.5546,-3.39717,149.347,-13.812,-1.99073,139.956,-34.8082,-15.460400000000002,131.518,-5.94765,-21.2495,136.59,-28.1988,-17.4516,110.287,-8.04857,-42.5053,135.846,-21.4336,-17.8524,147.111,-25.4966,-33.4605,152.573,-12.8713,-32.5611,146.567,-25.4966,-64.5024,152.573,-12.8713,-63.603,146.567,-25.4966,-94.3504,152.573,-12.8713,-93.451,146.567
1636576720359000,-26.016,13.9608,141.118,-23.6387,-2.71096,144.661,-33.5005,-3.45417,149.371,-13.777,-1.96774,139.951,-34.9231,-15.591,131.481,-5.97461,-21.149,136.6,-28.3626,-17.466900000000003,110.224,-8.08132,-42.403,135.791,-21.3328,-17.8646,147.098,-25.3286,-33.4931,152.54500000000002,-12.725,-32.5433,146.525,-25.3286,-64.535,152.54500000000002,-12.725,-63.5852,146.525,-25.3286,-94.383,152.54500000000002,-12.725,-93.4332,146.525
1636576720392000,-26.0339,14.0327,141.091,-23.6257,-2.63998,144.653,-33.4776,-3.37949,149.384,-13.7738,-1.90047,139.922,-35.21,-15.499100000000002,131.775,-5.95679,-21.2058,136.581,-28.4624,-17.447,110.583,-8.07133,-42.4557,135.678,-21.3018,-17.7853,147.125,-25.2786,-33.4036,152.622,-12.6772,-32.4577,146.571,-25.2786,-64.44550000000001,152.622,-12.6772,-63.4997,146.571,-25.2786,-94.2935,152.622,-12.6772,-93.3476,146.571
1636576720425000,-26.0101,14.0711,141.3,-23.564,-2.61156,144.727,-33.419799999999995,-3.41535,149.43900000000002,-13.7082,-1.80777,140.015,-35.1072,-15.5491,131.614,-5.94491,-21.1654,136.614,-28.416000000000004,-17.4617,110.401,-8.03877,-42.4158,135.666,-21.1846,-17.7608,147.119,-25.1081,-33.4241,152.525,-12.5022,-32.396,146.498,-25.1081,-64.466,152.525,-12.5022,-63.4379,146.498,-25.1081,-94.314,152.525,-12.5022,-93.2859,146.498
1636576720459000,-25.9593,14.0442,141.294,-23.5257,-2.58793,144.728,-33.383300000000006,-3.3512,149.443,-13.6681,-1.82467,140.012,-35.0019,-15.550299999999998,131.523,-5.90657,-21.1488,136.554,-28.8656,-17.3977,110.144,-7.992279999999999,-42.4034,135.68599999999998,-21.2023,-17.7442,147.131,-25.1941,-33.3895,152.55599999999998,-12.5637,-32.4116,146.514,-25.1941,-64.4314,152.55599999999998,-12.5637,-63.4535,146.514,-25.1941,-94.2794,152.55599999999998,-12.5637,-93.3014,146.514
1636576720487000,-25.995800000000003,14.186000000000002,141.244,-23.6843,-2.36985,144.93,-33.4793,-2.90901,149.797,-13.8893,-1.83069,140.06400000000002,-34.955200000000005,-15.5702,131.47899999999998,-5.90357,-21.1463,136.54000000000002,-28.6124,-17.4276,110.158,-7.98143,-42.388,135.409,-21.5103,-17.4948,147.631,-25.6114,-32.9652,153.448,-13.0613,-32.2743,147.21300000000002,-25.6114,-64.00710000000001,153.448,-13.0613,-63.3163,147.21300000000002,-25.6114,-93.8551,153.448,-13.0613,-93.1642,147.21300000000002
1636576720521000,-26.0748,14.0957,141.419,-23.9914,-2.48949,145.002,-33.8207,-2.88836,149.81400000000002,-14.162,-2.09063,140.19,-35.0016,-15.3944,131.989,-6.02932,-20.9157,136.262,-28.5823,-17.394399999999997,110.702,-7.902859999999999,-42.1911,135.64,-22.0651,-17.651699999999998,147.68,-26.4352,-33.0694,153.44,-13.8425,-32.5584,147.276,-26.4352,-64.1113,153.44,-13.8425,-63.6003,147.276,-26.4352,-93.9593,153.44,-13.8425,-93.4483,147.276
1636576720553000,-26.1077,14.118100000000002,141.252,-24.0511,-2.5449,144.95999999999998,-33.912400000000005,-2.8849,149.71300000000002,-14.189699999999998,-2.2049,140.207,-34.8675,-15.4523,131.83599999999998,-6.09751,-20.9115,136.138,-28.1722,-17.4159,110.632,-7.94429,-42.1974,135.735,-22.1953,-17.7017,147.726,-26.6568,-33.0764,153.53699999999998,-14.0224,-32.6408,147.447,-26.6568,-64.1183,153.53699999999998,-14.0224,-63.6827,147.447,-26.6568,-93.9663,153.53699999999998,-14.0224,-93.5307,147.447
1636576720589000,-26.1281,14.1411,141.122,-24.1449,-2.4900200000000003,144.926,-33.9377,-2.75586,149.822,-14.352099999999998,-2.22418,140.029,-34.7822,-15.4519,131.765,-6.13562,-20.9603,136.038,-28.134500000000003,-17.3448,110.538,-7.909730000000001,-42.2567,135.796,-22.3214,-17.641,147.75,-26.7697,-32.9622,153.70999999999998,-14.2261,-32.6217,147.43800000000002,-26.7697,-64.0042,153.70999999999998,-14.2261,-63.6636,147.43800000000002,-26.7697,-93.8521,153.70999999999998,-14.2261,-93.5116,147.43800000000002
1636576720625000,-26.2378,14.413999999999998,141.36,-24.3129,-2.30575,145.054,-34.0154,-2.49091,150.129,-14.610499999999998,-2.1206,139.98,-34.7736,-15.3418,131.947,-6.23803,-20.8636,135.94400000000002,-28.3213,-17.3458,110.67,-7.91156,-42.1702,135.81,-22.6001,-17.4885,147.775,-27.0998,-32.7897,153.745,-14.6748,-32.5526,147.247,-27.0998,-63.8316,153.745,-14.6748,-63.5945,147.247,-27.0998,-93.6796,153.745,-14.6748,-93.4425,147.247
1636576720660000,-26.1228,14.2239,141.326,-24.3019,-2.48412,145.027,-34.1173,-2.66815,149.877,-14.4866,-2.30009,140.177,-33.2867,-16.0215,130.621,-6.2106900000000005,-20.6917,135.991,-26.6702,-18.0611,109.085,-7.91884,-41.996,135.794,-22.6817,-17.680699999999998,147.72899999999998,-27.3467,-32.9951,153.53699999999998,-14.7762,-32.7594,147.326,-27.3467,-64.037,153.53699999999998,-14.7762,-63.801300000000005,147.326,-27.3467,-93.885,153.53699999999998,-14.7762,-93.6493,147.326
1636576720696000,-26.055200000000003,14.210400000000002,141.155,-24.2846,-2.4801100000000003,145.025,-34.1152,-2.59566,149.85,-14.454,-2.36456,140.199,-33.1419,-15.6762,130.852,-6.1850000000000005,-20.8718,136.005,-26.809500000000003,-17.7847,109.393,-7.89363,-42.174,135.649,-22.6973,-17.6489,147.895,-27.4055,-32.8918,153.856,-14.814699999999998,-32.7438,147.675,-27.4055,-63.9337,153.856,-14.814699999999998,-63.7857,147.675,-27.4055,-93.7817,153.856,-14.814699999999998,-93.6337,147.675
1636576720731000,-26.0914,14.1538,141.327,-24.2761,-2.50868,145.08599999999998,-34.1345,-2.6497,149.857,-14.4178,-2.3676500000000003,140.316,-33.3341,-15.465700000000002,130.998,-6.24443,-20.8855,135.949,-27.1558,-17.517,109.566,-7.84572,-42.1966,135.60899999999998,-22.6838,-17.683,147.928,-27.4026,-32.9476,153.824,-14.7805,-32.7671,147.717,-27.4026,-63.9895,153.824,-14.7805,-63.809000000000005,147.717,-27.4026,-93.8375,153.824,-14.7805,-93.657,147.717
