utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ
1636576704663000,-26.1396,14.3699,140.845,-24.7437,-2.03059,145.56199999999998,-34.5133,-1.59897,150.482,-14.974100000000002,-2.46221,140.64100000000002,-34.5133,-21.8956,150.482,-6.17469,-21.2597,139.333,-34.513400000000004,-42.1922,150.482,-8.3,-42.4835,137.953,-23.5344,-17.0405,149.279,-28.5462,-31.7755,156.13,-16.1039,-32.3252,149.864
1636576704688000,-26.0737,14.3609,140.872,-24.5868,-2.04868,145.268,-34.3489,-1.77194,150.22,-14.824700000000002,-2.3254200000000003,140.316,-34.3489,-22.0686,150.22,-6.26851,-21.2321,139.246,-34.349000000000004,-42.3652,150.22,-8.37478,-42.4693,138.071,-23.3092,-17.1373,148.63,-28.85,-32.0327,155.451,-15.2133,-32.4193,148.534
1636576704716000,-26.0632,14.1994,141.124,-24.5746,-2.1866,145.397,-34.3553,-1.9115,150.317,-14.7939,-2.46169,140.477,-34.3553,-22.2081,150.317,-6.22021,-21.2051,139.227,-34.3554,-42.5048,150.317,-8.41619,-42.4292,137.978,-23.2674,-17.2594,148.83800000000002,-28.372000000000003,-32.1519,155.505,-15.5485,-32.5126,149.055
1636576704760000,-26.0025,14.1862,140.954,-24.5403,-2.1743,145.374,-34.3492,-1.85187,150.236,-14.7315,-2.4967300000000003,140.511,-34.3491,-22.1485,150.236,-6.28189,-21.3332,139.261,-34.3492,-42.4451,150.236,-8.38072,-42.5635,137.951,-23.2426,-17.2089,148.989,-28.322000000000003,-32.0338,155.765,-15.5677,-32.4531,149.442
1636576704796000,-26.0079,14.112,140.924,-24.7014,-2.27825,145.397,-34.5267,-1.87442,150.221,-14.8762,-2.68209,140.573,-34.5266,-22.171100000000003,150.221,-6.24568,-21.2978,139.249,-34.5267,-42.4677,150.221,-8.33576,-42.5251,137.871,-23.5479,-17.327099999999998,149.006,-28.6526,-32.118700000000004,155.68800000000002,-16.1363,-32.6331,149.543
1636576704823000,-26.0,14.0805,140.756,-24.6481,-2.18432,145.384,-34.4159,-1.71781,150.317,-14.8803,-2.65083,140.451,-34.4159,-22.0144,150.317,-6.290100000000001,-21.4438,139.13299999999998,-34.416000000000004,-42.3111,150.317,-8.40924,-42.672,137.81400000000002,-23.445500000000003,-17.1822,149.184,-28.6217,-31.875400000000003,156.20499999999998,-15.8642,-32.4847,149.762
1636576704856000,-25.9756,14.046600000000002,140.881,-24.6093,-2.2304,145.481,-34.361200000000004,-1.8174,150.452,-14.8573,-2.64339,140.511,-34.361200000000004,-22.114,150.452,-6.31729,-21.4019,139.05,-34.3613,-42.410700000000006,150.452,-8.3835,-42.6393,137.797,-23.3392,-17.238999999999997,149.22,-28.518700000000003,-31.974400000000003,156.247,-15.6196,-32.5207,149.672
1636576704889000,-26.0256,14.2638,140.82999999999998,-24.5798,-2.04208,145.54500000000002,-34.3503,-1.62288,150.47899999999998,-14.8093,-2.46129,140.611,-34.3503,-21.9195,150.47899999999998,-6.25946,-21.3482,138.983,-34.3504,-42.2161,150.47899999999998,-8.36411,-42.5937,137.977,-23.2826,-17.0228,149.387,-28.3551,-31.730200000000004,156.445,-15.6156,-32.276799999999994,150.012
1636576704923000,-25.9749,14.143199999999998,140.81300000000002,-24.5797,-2.09985,145.517,-34.2356,-1.61544,150.66,-14.9238,-2.58425,140.373,-34.2356,-21.9121,150.66,-6.30287,-21.2346,138.81300000000002,-34.2356,-42.2087,150.66,-8.344899999999999,-42.4945,138.005,-23.3046,-17.0921,149.322,-28.3501,-31.7673,156.495,-15.7088,-32.4015,149.761
1636576704957000,-25.905,14.2016,140.85,-24.4717,-2.04924,145.473,-34.1666,-1.58923,150.548,-14.7769,-2.50924,140.398,-34.1665,-21.8859,150.548,-6.2865400000000005,-21.2977,138.542,-34.1666,-42.1825,150.548,-8.356570000000001,-42.5541,137.692,-23.1753,-17.0325,149.308,-28.2735,-31.7123,156.49,-15.484100000000002,-32.3192,149.796
1636576704990000,-26.0746,14.2237,140.976,-24.5281,-2.10154,145.53,-34.243,-1.72349,150.574,-14.813300000000002,-2.47958,140.486,-34.243,-22.0201,150.574,-6.24182,-21.3463,138.301,-34.2431,-42.3168,150.574,-8.338339999999999,-42.6025,137.504,-23.1591,-17.0971,149.291,-28.196,-31.8433,156.377,-15.384200000000002,-32.341899999999995,149.725
1636576705019000,-25.9935,14.2297,141.18699999999998,-24.5262,-2.18327,145.448,-34.2507,-1.85403,150.478,-14.8017,-2.51251,140.418,-34.2506,-22.1507,150.478,-6.220219999999999,-21.3333,138.071,-34.2507,-42.4473,150.478,-8.27306,-42.5985,137.417,-23.2499,-17.2572,148.902,-28.4157,-32.113,155.68800000000002,-15.5316,-32.5492,149.024
