utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
26490,1636576650189000,-25.8882,14.7163,139.325,-24.0025,-0.910605,145.847,-34.1507,-0.705276,149.96099999999998,-13.8543,-1.11593,141.73399999999998,-34.1507,-21.0019,149.96099999999998,-7.13085,-24.3861,139.848,-34.1507,-41.298500000000004,149.96099999999998,-11.298,-30.123700000000003,119.684,-22.1451,-15.3763,151.152,-27.0242,-29.7058,159.18699999999998,-13.5511,-29.9784,153.726,-19.3123,-18.2508,131.394,-13.5511,-61.0203,153.726,-22.4408,-19.0079,101.724,-13.5511,-90.8683,153.726
26491,1636576650222000,-25.837200000000003,14.705400000000001,139.257,-24.0269,-0.902061,145.85,-34.1514,-0.583989,150.01500000000001,-13.9023,-1.22013,141.685,-34.1514,-20.8806,150.01500000000001,-7.103759999999999,-24.3139,139.949,-34.1515,-41.1773,150.01500000000001,-11.2196,-30.1462,119.80199999999999,-22.243100000000002,-15.3276,151.288,-27.082600000000003,-29.5451,159.45,-13.836099999999998,-29.9613,154.001,-19.8091,-18.4934,131.381,-13.836099999999998,-61.00320000000001,154.001,-22.4436,-19.016399999999997,101.66,-13.836099999999998,-90.85119999999999,154.001
26492,1636576650260000,-25.767000000000003,14.790700000000001,139.125,-24.0445,-0.733804,145.885,-34.1342,-0.233624,150.114,-13.9549,-1.23398,141.656,-34.1342,-20.5303,150.114,-7.2939300000000005,-24.415100000000002,139.654,-34.1342,-40.8269,150.114,-11.263200000000001,-30.2806,119.487,-22.3963,-15.099799999999998,151.51600000000002,-27.272100000000002,-29.142500000000002,159.882,-14.2242,-29.789299999999997,154.413,-19.8559,-18.2695,131.775,-14.2242,-60.8312,154.413,-22.3399,-18.75,102.039,-14.2242,-90.67920000000001,154.413
26493,1636576650295000,-25.7315,14.8168,139.00799999999998,-24.0992,-0.7620790000000001,145.863,-34.1875,-0.193588,150.089,-14.0108,-1.33057,141.636,-34.1875,-20.490199999999998,150.089,-7.24976,-24.435200000000002,139.77100000000002,-34.187599999999996,-40.7869,150.089,-11.3411,-30.2403,119.612,-22.541999999999998,-15.1323,151.513,-27.595,-29.130000000000003,159.932,-14.3747,-29.875,154.393,-20.0296,-18.7193,131.691,-14.3747,-60.9169,154.393,-22.375999999999998,-19.1332,101.94,-14.3747,-90.76480000000001,154.393
26494,1636576650325000,-25.7674,14.844800000000001,139.007,-24.1612,-0.733151,145.869,-34.2296,-0.132021,150.14000000000001,-14.0928,-1.3342800000000001,141.598,-34.2296,-20.4287,150.14000000000001,-7.2005099999999995,-24.4574,139.816,-34.2296,-40.7253,150.14000000000001,-11.2673,-30.2613,119.65,-22.6486,-15.1311,151.462,-27.7873,-29.131999999999998,159.876,-14.4847,-29.9262,154.233,-19.405,-18.3722,132.012,-14.4847,-60.96810000000001,154.233,-22.353299999999997,-19.1703,102.33,-14.4847,-90.81609999999999,154.233
26495,1636576650350000,-25.764499999999998,14.7304,139.052,-24.128899999999998,-0.932085,145.726,-34.299,-0.5044109999999999,149.761,-13.9588,-1.35976,141.692,-34.298899999999996,-20.801,149.761,-7.1937,-24.672800000000002,139.761,-34.299,-41.097699999999996,149.761,-11.2892,-30.3498,119.566,-22.6041,-15.4088,151.105,-27.9726,-29.5957,159.21800000000002,-14.1859,-30.1755,153.749,-19.3328,-18.5961,131.519,-14.1859,-61.2174,153.749,-22.0233,-19.7434,101.822,-14.1859,-91.06530000000001,153.749
26496,1636576650382000,-25.811700000000002,14.894300000000001,139.277,-24.1034,-0.7806339999999999,145.80599999999998,-34.2513,-0.320963,149.898,-13.9555,-1.2403,141.714,-34.2513,-20.6176,149.898,-7.180459999999999,-24.6964,139.63299999999998,-34.2513,-40.9142,149.898,-11.3291,-30.3493,119.441,-22.611,-15.279900000000001,151.136,-27.856099999999998,-29.473899999999997,159.182,-14.381,-30.084300000000002,153.748,-19.933699999999998,-18.3384,131.327,-14.381,-61.1262,153.748,-22.011699999999998,-19.1085,101.574,-14.381,-90.9742,153.748
26497,1636576650416000,-25.697699999999998,14.828399999999998,138.385,-24.056800000000003,-0.563744,145.598,-34.1727,0.144144,149.72899999999998,-13.9409,-1.27163,141.467,-34.1727,-20.1525,149.72899999999998,-7.18031,-24.6121,139.659,-34.1728,-40.4491,149.72899999999998,-11.3538,-30.281599999999997,119.477,-22.622300000000003,-14.8089,151.551,-27.737000000000002,-28.5957,160.18,-14.6386,-29.5123,154.82999999999998,-19.4016,-17.5362,132.41,-14.6386,-60.5542,154.82999999999998,-22.1798,-18.3455,102.71700000000001,-14.6386,-90.40220000000001,154.82999999999998
26498,1636576650450000,-25.692700000000002,14.8292,138.842,-24.0457,-0.665341,145.675,-34.1374,-0.116679,149.89000000000001,-13.953899999999999,-1.214,141.459,-34.1374,-20.4133,149.89000000000001,-7.21392,-24.8646,139.489,-34.1374,-40.7099,149.89000000000001,-11.4274,-30.340300000000003,119.263,-22.4881,-15.043000000000001,151.275,-27.5511,-29.060700000000004,159.64100000000002,-14.309800000000001,-29.7806,154.10999999999999,-22.037100000000002,-20.8125,127.678,-14.309800000000001,-60.822500000000005,154.10999999999999,-22.131700000000002,-18.603299999999997,95.45009999999999,-14.309800000000001,-90.6705,154.10999999999999
26499,1636576650483000,-25.746499999999997,14.863900000000001,139.071,-24.04,-0.843439,145.558,-34.131099999999996,-0.5665530000000001,149.798,-13.9488,-1.12032,141.31900000000002,-34.131099999999996,-20.8632,149.798,-7.3591999999999995,-24.575899999999997,139.39600000000002,-34.1312,-41.159800000000004,149.798,-11.476099999999999,-30.030099999999997,119.144,-22.3851,-15.4535,150.452,-27.6455,-29.873700000000003,158.25,-13.815100000000001,-30.2532,152.441,-23.486600000000003,-20.9564,127.574,-13.815100000000001,-61.295100000000005,152.441,-21.5153,-19.5257,96.6765,-13.815100000000001,-91.1431,152.441
26500,1636576650516000,-25.776100000000003,14.8465,139.081,-23.8451,-0.91138,145.522,-33.931599999999996,-0.667249,149.781,-13.758600000000001,-1.15551,141.263,-33.931599999999996,-20.963900000000002,149.781,-7.33391,-24.0089,139.596,-33.9317,-41.2605,149.781,-11.3957,-29.7043,119.4,-22.006,-15.406299999999998,150.709,-26.968799999999998,-29.736700000000003,158.767,-13.365100000000002,-30.0659,153.024,-21.1215,-19.1166,129.691,-13.365100000000002,-61.1078,153.024,-21.7202,-18.7607,99.4068,-13.365100000000002,-90.9558,153.024
